,event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best,communal
5,IND87042,31-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Tamil Nadu,Theni,Theni,Theni,10.0153,77.482,1,The Hindu,National,"On 31 December 2020, a protest was held in Theni town (Theni, TN) demanding action against the murder of a youth.",0,crowd size=no report,1610484591,11673,32473,48227,11673,0
11,IND87027,31-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); Swaraj Party; Labor Group (India),6,,,0,60,,356,South Asia,India,Haryana,Rewari,Bawal,Jaisinghpur Khera,28.0563,76.5021,1,Times of India; Hindustan Times,National,"On 31 December 2020, thousands of farmers and trade union members led by Swaraj Abhiyan leader staged a protest in Jaisinghpur Khera (Rewari, Haryana) for the 19th day, against recently passed farm laws.",0,crowd size=thousands,1680633732,804,1687,11326,804,0
20,IND87028,31-Dec-20,2020,1,Political violence,Battles,Armed clash,Kashmir Rebels (India),,2,Police Forces of India (2014-) Central Reserve Police Force,,1,12,,356,South Asia,India,Jammu and Kashmir,Anantnag,Kokernag,Sagam,33.6115,75.2623,1,Chandigarh Tribune,National,"On 31 December 2020, unidentified militants (coded as Kashmir Rebels) fired at a CRPF company at Sagam town (Anantnag district, J&K). One CRPF personnel was injured in the attack.",0,,1702343328,5624,7499,7371,7371,0
24,IND87044,31-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Telangana,Siddipet,Siddipet,Siddipet,18.1025,78.8516,2,New Indian Express,Subnational,"On 31 December 2020, a protest was held in a village in Siddipet district (Siddipet, TS) against construction on disputed land.",0,crowd size=no report,1709668848,29208,57425,118695,29208,0
31,IND86989,30-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Jammu and Kashmir,Srinagar,Srinagar South,Lawaypora,34.119,74.6996,1,Daily Excelsior,Subnational,"On 30 December 2020, families of killed persons alleged to be militants protested at Lawaypora town (Srinagar district, J&K) alleging that those killed were innocents.",0,crowd size=no report,1610484569,7486,4792,5534,7486,0
32,IND86993,30-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Shiv Sena,6,,,0,60,,356,South Asia,India,Jammu and Kashmir,Reasi,Reasi,Reasi,33.0792,74.8342,1,Early Times (India),Subnational,"On 30 December 2020, Shiv Sena members protested at Reasi city (J&K) to demand restoration of high speed internet 4g services denied after the abrogation of article 370 and bifurcation of the state.",0,crowd size=no report,1610484575,29311,35484,55421,29311,0
87,IND86932,29-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India); Students (India),6,,,0,60,,356,South Asia,India,Assam,Kamrup Metropolitan,North Guwahati,Guwahati,26.1892,91.7722,1,Sentinel (India),Subnational,"On 29 December 2020, members of various organisations like All Assam Matak Yuba-Chatra Sanmilan (AAMYCS, student organization), All Assam Safai Karmi/Covid Warriors (Ward boys and Laboratory Technicians), and Nikhil Bishnupriya Manipuri Mahasabharended staged a protest at Guwahati (Assam) for issues like reservation for students, formation of an autonomous council, etc.",0,crowd size=no report,1618492930,10929,56151,181060,10929,0
104,IND86958,29-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); BKU: Bharatiya Kisan Union,6,,,0,60,,356,South Asia,India,Delhi,East Delhi,Preet Vihar,Delhi - Patparganj,28.6331,77.3067,2,Hindustan Times; Indian Express; DNA Daily News and Analysis; United News of India,National,"On 29 December 2020, thousands of farmers from over 30 organisations including the BKU staged a protest for the 33rd day at the Delhi-Ghaziabad border at Ghazipur near Patparganj, New Delhi (Delhi-Patparganj). Farmers are demonstrating against recently passed farm laws.",0,crowd size=thousands,1680633732,56911,215084,238015,56911,0
107,IND86935,29-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Unidentified Ethnic Group (India),6,,,0,60,,356,South Asia,India,Assam,Sivasagar,Nazira,Nazira,26.9005,94.7223,1,Assam Tribune,Subnational,"On 29 December 2020, members of ten different ethnic and youth organisations staged a protest at Nazira (Assam) demanding repeal of the Citizenship (Amendment) Act, 2019 (CAA) and release of Akhil Gogoi.",0,crowd size=no report,1680633737,1294,6817,23880,1294,0
111,IND86940,29-Dec-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); Swaraj Party,6,,,0,60,,356,South Asia,India,Haryana,Rewari,Bawal,Jaisinghpur Khera,28.0563,76.5021,1,Times of India,National,"On 29 December 2020, thousands of farmers led by Swaraj Abhiyan leader staged a protest in Jaisinghpur Khera (Rewari, Haryana) for the 17th day, against recently passed farm laws.",0,crowd size=thousands,1680633763,804,1687,11326,804,0
