,admin2,afterlockdown,dist_name,phase3,admin1,n_events,n_events_caa,NAME_1,NAME_2,popsize_dist,lnpopsize_dist
1,Adilabad,0,Adilabad,Orange Zone,Telangana,0,0,Telangana,Adilabad,2741239,14.82392025
2,Adilabad,1,Adilabad,Orange Zone,Telangana,0,0,Telangana,Adilabad,2741239,14.82392025
3,Agar Malwa,0,Agar Malwa,Orange Zone,Madhya Pradesh,0,0,Madhya Pradesh,Agar Malwa,NA,NA
4,Agar Malwa,1,Agar Malwa,Orange Zone,Madhya Pradesh,0,0,Madhya Pradesh,Agar Malwa,NA,NA
5,Agra,0,Agra,Red Zone,Uttar Pradesh,0,3,Uttar Pradesh,Agra,4418797,15.30137825
6,Agra,1,Agra,Red Zone,Uttar Pradesh,0,0,Uttar Pradesh,Agra,4418797,15.30137825
7,Ahmadabad,0,Ahmedabad,Red Zone,Gujarat,0,5,Gujarat,Ahmadabad,7214225,15.79156494
8,Ahmadabad,1,Ahmedabad,Red Zone,Gujarat,0,0,Gujarat,Ahmadabad,7214225,15.79156494
9,Ahmednagar,0,Ahmednagar,Orange Zone,Maharashtra,0,2,Maharashtra,Ahmadnagar,4543159,15.32913303
10,Ahmednagar,1,Ahmednagar,Orange Zone,Maharashtra,0,0,Maharashtra,Ahmadnagar,4543159,15.32913303
11,Aizawl,0,Aizawl,Green Zone,Mizoram,0,2,Mizoram,Aizawl,400309,12.89999199
12,Aizawl,1,Aizawl,Green Zone,Mizoram,0,0,Mizoram,Aizawl,400309,12.89999199
13,Ajmer,0,Ajmer,Red Zone,Rajasthan,0,1,Rajasthan,Ajmer,2583052,14.7644825
14,Ajmer,1,Ajmer,Red Zone,Rajasthan,0,0,Rajasthan,Ajmer,2583052,14.7644825
15,Akola,0,Akola,Red Zone,Maharashtra,0,3,Maharashtra,Akola,1813906,14.41099262
16,Akola,1,Akola,Red Zone,Maharashtra,0,0,Maharashtra,Akola,1813906,14.41099262
17,Alappuzha,0,Alappuzha (Alleppey),Orange Zone,Kerala,0,1,Kerala,Alappuzha,2127789,14.57059383
18,Alappuzha,1,Alappuzha (Alleppey),Orange Zone,Kerala,0,0,Kerala,Alappuzha,2127789,14.57059383
19,Aligarh,0,Aligarh,Red Zone,Uttar Pradesh,0,19,Uttar Pradesh,Aligarh,3673889,15.11676121
20,Aligarh,1,Aligarh,Red Zone,Uttar Pradesh,0,0,Uttar Pradesh,Aligarh,3673889,15.11676121
21,Alipurduar,0,Alipurduar,Green Zone,West Bengal,0,8,West Bengal,Alipurduar,NA,NA
22,Alipurduar,1,Alipurduar,Green Zone,West Bengal,0,0,West Bengal,Alipurduar,NA,NA
23,Alirajpur,0,Alirajpur,Orange Zone,NA,0,0,Madhya Pradesh,Alirajpur,728999,13.4994278
24,Alirajpur,1,Alirajpur,Orange Zone,NA,0,0,Madhya Pradesh,Alirajpur,728999,13.4994278
25,Almora,0,Almora,Green Zone,Uttarakhand,0,0,Uttarakhand,Almora,622506,13.34150887
26,Almora,1,Almora,Green Zone,Uttarakhand,0,0,Uttarakhand,Almora,622506,13.34150887
27,Alwar,0,Alwar,Orange Zone,Rajasthan,1,1,Rajasthan,Alwar,3674179,15.11684036
