,NAME_1,BJP
1,Telangana,0
2,Madhya Pradesh,1
3,Uttar Pradesh,1
4,Gujarat,1
5,Maharashtra,0
6,Mizoram,0
7,Rajasthan,0
8,Kerala,0
9,West Bengal,0
10,Uttarakhand,1
11,Haryana,1
12,Punjab,0
13,Andhra Pradesh,0
14,Jammu and Kashmir,1
15,Arunachal Pradesh,1
16,Odisha,0
17,Bihar,1
18,Tamil Nadu,0
19,Karnataka,1
20,Assam,1
21,Chhattisgarh,0
22,NA,0
23,Himachal Pradesh,1
24,Manipur,1
25,Jharkhand,0
26,Chandigarh,1
27,Dadra and Nagar Haveli,1
28,Daman and Diu,1
29,Tripura,1
30,Nagaland,1
31,Meghalaya,0
32,Sikkim,0
33,Puducherry,0
34,Lakshadweep,1
35,Andaman and Nicobar,1
36,Goa,1
37,NCT of Delhi,1
38,Delhi,1
